Ale, 32.85
Alingsås, 32.84
Alvesta, 33.42
Aneby, 33.85
Arboga, 33.29
Arjeplog, 34.84
Arvidsjaur, 34.14
Arvika, 34.03
Askersund, 34.15
Avesta, 33.95
Bengtsfors, 34.40
Berg, 34.22
Bjurholm, 34.50
Bjuv, 32.17
Boden, 33.94
Bollebygd, 33.07
Bollnäs, 33.37
Borgholm, 33.44
Borlänge, 34.40
Borås, 32.79
Botkyrka, 32.43
Boxholm, 33.37
Bromölla, 33.74
Bräcke, 35.09
Burlöv, 31.27
Båstad, 31.41
Dals-Eds, 34.69
Danderyd, 30.63
Degerfors, 35.30
Dorotea, 35.15
Eda, 34.55
Ekerö, 31.60
Eksjö, 34.02
Emmaboda, 33.82
Enköping, 33.05
Eskilstuna, 32.85
Eslöv, 31.72
Essunga, 33.05
Fagersta, 32.99
Falkenberg, 32.50
Falköping, 33.43
Falu, 34.05
Filipstad, 34.55
Finspång, 33.70
Flen, 33.10
Forshaga, 34.63
Färgelanda, 34.39
Gagnefs, 34.27
Gislaved, 33.75
Gnesta, 32.95
Gnosjö, 34.00
Gotland, 33.60
Grum, 34.78
Grästorp, 33.47
Gullspång, 33.97
Gällivare, 33.89
Gävle, 33.77
Göteborg, 32.60
Götene, 33.60
Habo, 33.93
Hagfors, 34.30
Hallsberg, 33.85
Hallstahammar, 32.69
Halmstad, 32.38
Hammarö, 35.20
Haninge, 31.83
Haparanda, 33.84
Heby, 34.21
Hedemora, 34.15
Helsingborg, 31.39
Herrljunga, 33.42
Hjo, 33.48
Hofors, 34.37
Huddinge, 31.85
Hudiksvall, 33.12
Hultsfred, 33.77
Hylte, 33.85
Håbo, 33.30
Hällefors, 34.35
Härjedalen, 34.17
Härnösand, 34.63
Härryda, 31.98
Hässleholm, 32.38
Höganäs, 30.91
Högsby, 34.07
Hörby, 32.26
Höör, 32.93
Jokkmokk, 34.29
Järfälla, 31.62
Jönköping, 33.40
Kalix, 33.89
Kalmar, 33.67
Karlsborg, 32.80
Karlshamn, 34.10
Karlskoga, 34.30
Karlskrona, 33.69
Karlstad, 33.55
Katrineholm, 32.95
Kil, 34.63
Kinda, 33.00
Kiruna, 34.39
Klippan, 31.93
